BorrowerCreditScore,LoanAmount,LoanTerm,EmploymentStatus,AnnualIncome,DebtToIncomeRatio,PreviousDefaultHistory,TypeOfLoan,InterestRate,EconomicIndicators,ApproveLoan,LoanOfferAmount,InterestRateOffered,LoanTermOffered,AdditionalCollateralRequired,LoanPerformance,DefaultWithin12Months,RecoveryRate,CostOfRiskManagement
473,26804,Medium-term,Self-employed,167026,23,No,Personal,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,40,947
467,46688,Long-term,Self-employed,102722,38,No,Business,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,80,2976
469,25581,Short-term,Self-employed,32356,17,No,Business,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,46,1339
692,35087,Short-term,Retired,148128,47,No,Business,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,93,1432
493,37981,Medium-term,Self-employed,22187,66,No,Auto,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,53,3606
816,8762,Short-term,Retired,97243,26,No,Auto,13,Stable,Yes,8762.0,13,Short-term,No,Performing,No,100,2479
328,14768,Medium-term,Employed,55098,56,Yes,Auto,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,54,4891
464,48408,Medium-term,Retired,172297,56,No,Personal,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,94,4222
721,44499,Short-term,Unemployed,154678,40,No,Mortgage,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,18,3337
638,43559,Long-term,Self-employed,77620,23,Yes,Mortgage,7,Stable,Yes,19405.0,7,Long-term,Yes,Non-performing,Yes,61,2465
795,13783,Short-term,Self-employed,183900,42,No,Personal,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,98,2512
664,34781,Short-term,Unemployed,146270,74,Yes,Personal,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,92,3274
641,35811,Medium-term,Retired,177561,61,No,Business,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,58,472
799,40488,Medium-term,Employed,34387,24,No,Business,10,Growing,Yes,8596.75,10,Medium-term,No,Performing,No,100,2049
810,13905,Medium-term,Unemployed,89463,13,No,Auto,16,Growing,Yes,13905.0,16,Medium-term,No,Performing,No,100,344
626,14127,Medium-term,Unemployed,153663,36,No,Auto,9,Growing,Yes,14127.0,9,Medium-term,Yes,Performing,No,100,1940
516,27431,Long-term,Retired,199588,8,No,Personal,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,64,3527
600,11368,Long-term,Self-employed,111683,54,No,Auto,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,67,224
431,32424,Long-term,Retired,82061,9,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,27,4732
369,23333,Medium-term,Unemployed,101257,24,No,Personal,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,17,2853
551,28116,Medium-term,Unemployed,81753,41,No,Personal,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,25,2019
714,48201,Medium-term,Self-employed,104774,26,No,Mortgage,14,Stable,Yes,26193.5,14,Medium-term,No,Performing,No,100,1735
744,20525,Long-term,Self-employed,162159,62,No,Business,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,18,1525
481,28398,Medium-term,Self-employed,181888,72,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,54,1640
466,37857,Short-term,Retired,43408,48,Yes,Mortgage,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,56,630
390,15361,Short-term,Self-employed,144116,38,Yes,Mortgage,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,5,4449
830,21369,Medium-term,Unemployed,151208,46,No,Auto,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,0,3203
338,8041,Short-term,Unemployed,37413,13,No,Personal,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,7,4856
425,5105,Short-term,Employed,133650,11,No,Auto,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,96,1901
750,14078,Long-term,Retired,79500,72,Yes,Mortgage,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,50,1136
472,30003,Medium-term,Employed,104514,23,No,Auto,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,84,3828
519,11090,Medium-term,Unemployed,76358,35,No,Mortgage,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,87,4111
357,43850,Long-term,Employed,86197,39,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,24,3563
775,6925,Short-term,Unemployed,183926,61,No,Auto,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,46,1242
755,23440,Short-term,Employed,96240,65,No,Business,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,54,1855
660,44685,Medium-term,Self-employed,36322,35,No,Mortgage,5,Stable,Yes,9080.5,5,Medium-term,No,Performing,No,100,4940
300,31015,Short-term,Employed,133053,57,No,Auto,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,63,1729
686,38320,Long-term,Self-employed,26968,36,No,Personal,14,Growing,Yes,6742.0,14,Long-term,No,Performing,No,100,862
647,30291,Long-term,Self-employed,47518,70,No,Auto,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,82,4989
489,41679,Medium-term,Retired,71925,63,No,Auto,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,4939
804,31289,Long-term,Self-employed,131900,14,No,Personal,12,Growing,Yes,31289.0,12,Long-term,No,Performing,No,100,4057
490,8389,Long-term,Self-employed,113422,6,Yes,Mortgage,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,9,657
807,30683,Medium-term,Employed,21700,70,Yes,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,55,4721
668,18629,Long-term,Unemployed,113782,64,No,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,11,939
708,29826,Long-term,Retired,43199,21,No,Business,11,Growing,Yes,10799.75,11,Long-term,No,Performing,No,100,102
416,40198,Long-term,Self-employed,195661,20,No,Personal,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,32,1151
433,31630,Short-term,Retired,183187,20,Yes,Auto,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,70,1504
357,38226,Medium-term,Employed,25520,50,No,Mortgage,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,16,256
472,37975,Medium-term,Self-employed,129814,43,No,Auto,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,60,2037
448,5899,Medium-term,Employed,187527,35,No,Business,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,9,610
379,16653,Short-term,Retired,143364,5,No,Auto,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,30,3504
512,32961,Short-term,Employed,192677,15,Yes,Personal,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,59,4882
502,21405,Medium-term,Retired,34955,8,No,Personal,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,69,1237
528,13601,Short-term,Employed,195121,30,No,Mortgage,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,4014
526,38662,Medium-term,Retired,164989,54,No,Mortgage,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,49,3421
831,38282,Short-term,Unemployed,84925,16,No,Business,17,Stable,Yes,21231.25,17,Short-term,No,Performing,No,100,4766
740,26288,Long-term,Employed,127216,69,No,Mortgage,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,36,814
701,34545,Long-term,Employed,90269,51,No,Auto,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,81,2386
346,41877,Medium-term,Unemployed,182026,57,Yes,Personal,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,61,2754
532,20313,Short-term,Unemployed,61458,6,Yes,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,89,1090
604,20349,Short-term,Employed,109037,28,No,Personal,18,Growing,Yes,20349.0,18,Short-term,Yes,Performing,No,100,4529
825,12179,Long-term,Unemployed,172185,8,No,Mortgage,13,Stable,Yes,12179.0,13,Long-term,No,Performing,No,100,2260
442,15326,Long-term,Self-employed,119977,23,No,Personal,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,79,4557
714,49555,Short-term,Retired,63939,30,No,Personal,19,Growing,Yes,15984.75,19,Short-term,No,Performing,No,100,2244
812,6560,Short-term,Retired,49345,44,No,Personal,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,71,2163
672,18612,Short-term,Retired,197385,54,No,Business,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,87,2703
558,22650,Short-term,Self-employed,130107,47,No,Business,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,76,2077
770,31745,Short-term,Unemployed,141866,71,No,Mortgage,12,Recession,No,0.0,0,N/A,No,Non-performing,Yes,28,475
311,36890,Short-term,Unemployed,89166,16,No,Personal,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,31,841
629,25022,Medium-term,Employed,198933,71,No,Mortgage,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,87,4585
657,9780,Short-term,Unemployed,117406,31,Yes,Personal,3,Recession,Yes,9780.0,3,Short-term,No,Non-performing,Yes,79,2767
707,23311,Long-term,Employed,69298,58,Yes,Personal,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,10,1340
672,33380,Medium-term,Self-employed,198293,70,No,Personal,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,95,3570
307,49662,Short-term,Retired,64942,53,No,Mortgage,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,5,2467
421,7356,Long-term,Retired,23453,20,Yes,Mortgage,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,34,2343
647,9790,Medium-term,Retired,122811,6,No,Personal,12,Growing,Yes,9790.0,12,Medium-term,Yes,Performing,No,100,3649
389,31911,Long-term,Unemployed,74935,64,No,Auto,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,32,517
615,29363,Short-term,Employed,142439,58,No,Mortgage,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,17,706
477,25049,Short-term,Employed,194442,34,Yes,Business,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,36,667
839,15181,Short-term,Self-employed,28328,42,Yes,Mortgage,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,12,643
340,44825,Short-term,Unemployed,35534,32,No,Personal,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,73,983
801,21082,Medium-term,Self-employed,105280,29,No,Auto,11,Stable,Yes,21082.0,11,Medium-term,No,Performing,No,100,4898
444,5661,Medium-term,Employed,56320,14,No,Personal,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,89,1323
500,42412,Long-term,Employed,69170,64,No,Business,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,80,2993
760,7920,Short-term,Retired,120546,46,Yes,Mortgage,6,Recession,No,0.0,0,N/A,No,Non-performing,Yes,63,2168
846,30658,Long-term,Unemployed,100201,44,Yes,Mortgage,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,0,3809
552,19025,Medium-term,Employed,28640,46,No,Personal,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,62,1886
689,13946,Short-term,Retired,181121,51,Yes,Personal,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,88,1557
555,33706,Short-term,Unemployed,156690,41,No,Business,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,33,2014
749,44004,Medium-term,Self-employed,152992,26,No,Auto,9,Stable,Yes,38248.0,9,Medium-term,No,Performing,No,100,177
309,21309,Medium-term,Unemployed,63937,61,Yes,Business,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,9,3713
541,38120,Medium-term,Unemployed,163279,31,No,Auto,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,83,1408
550,35027,Medium-term,Employed,184044,45,No,Mortgage,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,6,747
304,12005,Medium-term,Employed,161871,38,No,Auto,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,55,2287
418,5956,Short-term,Unemployed,179988,36,Yes,Auto,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,79,652
673,39839,Medium-term,Employed,90463,70,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,36,381
364,13595,Short-term,Employed,113500,16,No,Mortgage,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,28,1381
445,17803,Short-term,Employed,57158,44,No,Mortgage,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,11,1946
523,30963,Medium-term,Retired,104607,14,No,Business,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,2587
538,41221,Medium-term,Retired,139639,52,No,Mortgage,17,Recession,No,0.0,0,N/A,No,Non-performing,Yes,47,2893
476,44443,Short-term,Unemployed,91696,24,No,Personal,13,Recession,No,0.0,0,N/A,No,Non-performing,Yes,83,3811
581,38723,Medium-term,Employed,81510,43,No,Mortgage,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,25,4299
362,44063,Medium-term,Retired,140076,64,No,Mortgage,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,82,4961
516,20282,Medium-term,Unemployed,78692,70,No,Mortgage,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,11,2876
760,9703,Long-term,Employed,150841,69,Yes,Auto,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,20,1696
404,11563,Short-term,Self-employed,35810,55,Yes,Business,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,41,579
398,30849,Long-term,Employed,156198,40,No,Mortgage,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,60,3412
810,36860,Medium-term,Employed,181081,28,No,Business,9,Growing,Yes,36860.0,9,Medium-term,No,Performing,No,100,3318
684,36585,Long-term,Retired,131718,31,No,Personal,15,Growing,Yes,32929.5,15,Long-term,No,Performing,No,100,2063
704,27015,Medium-term,Unemployed,110932,6,No,Personal,7,Recession,Yes,27015.0,7,Medium-term,No,Performing,No,100,2242
817,17003,Long-term,Unemployed,20192,35,No,Mortgage,19,Stable,Yes,5048.0,19,Long-term,No,Performing,No,100,3998
775,48585,Medium-term,Retired,56413,61,No,Personal,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,57,2172
736,31958,Long-term,Employed,163888,70,No,Business,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,53,1395
322,31017,Long-term,Self-employed,59082,33,No,Auto,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,33,1038
757,16171,Long-term,Employed,85048,19,Yes,Mortgage,10,Stable,Yes,16171.0,10,Long-term,No,Non-performing,Yes,6,861
382,17201,Short-term,Employed,143130,16,Yes,Personal,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,34,4849
444,34426,Long-term,Self-employed,70940,32,No,Business,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,14,1769
384,22778,Short-term,Retired,183202,28,Yes,Business,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,64,3962
377,47229,Medium-term,Unemployed,60142,25,No,Personal,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,89,2785
756,26116,Long-term,Retired,56468,14,No,Business,13,Recession,Yes,14117.0,13,Long-term,No,Performing,No,100,3999
300,38297,Medium-term,Retired,181770,22,No,Business,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,98,2031
350,24342,Medium-term,Employed,161727,18,Yes,Mortgage,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,24,4039
745,32490,Long-term,Unemployed,198969,38,No,Business,9,Recession,Yes,32490.0,9,Long-term,No,Performing,No,100,1226
748,24975,Short-term,Unemployed,181147,62,No,Personal,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,58,3397
787,31723,Long-term,Retired,160431,26,No,Mortgage,13,Recession,Yes,31723.0,13,Long-term,No,Performing,No,100,4770
333,28279,Medium-term,Self-employed,149048,74,No,Personal,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,78,1303
647,17765,Medium-term,Retired,62056,40,No,Auto,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,85,4235
394,16561,Long-term,Self-employed,71831,49,No,Personal,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,5,3872
371,46899,Short-term,Unemployed,79191,40,No,Personal,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,51,619
453,5525,Short-term,Retired,141948,26,Yes,Mortgage,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,78,2383
549,27861,Medium-term,Employed,184344,65,No,Business,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,87,4658
737,38142,Medium-term,Retired,128117,60,No,Personal,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,20,582
417,31916,Short-term,Unemployed,34671,37,No,Mortgage,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,70,2577
605,49965,Long-term,Employed,47048,49,No,Auto,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,3193
567,9648,Medium-term,Employed,45963,40,No,Mortgage,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,95,442
353,40133,Short-term,Self-employed,63954,24,No,Mortgage,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,31,1562
535,35523,Medium-term,Employed,115430,22,No,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,52,1302
688,34052,Long-term,Employed,20717,42,No,Personal,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,58,1721
700,39414,Short-term,Retired,31676,71,No,Auto,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,68,2498
602,37781,Medium-term,Unemployed,155506,27,No,Mortgage,3,Growing,Yes,37781.0,3,Medium-term,Yes,Performing,No,100,3696
506,9599,Long-term,Self-employed,138696,20,No,Personal,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,61,3635
528,40046,Medium-term,Retired,150830,63,No,Personal,15,Recession,No,0.0,0,N/A,No,Non-performing,Yes,3,2977
374,40923,Long-term,Employed,24994,73,No,Mortgage,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,85,2490
734,46089,Long-term,Employed,24234,72,Yes,Personal,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,17,3451
402,8814,Short-term,Self-employed,89300,25,No,Mortgage,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,98,3013
721,40984,Long-term,Unemployed,63949,74,No,Mortgage,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,80,1289
605,31616,Medium-term,Self-employed,57405,16,No,Mortgage,16,Recession,Yes,14351.25,16,Medium-term,Yes,Performing,No,100,2440
397,7113,Long-term,Retired,54872,20,No,Auto,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,55,3680
634,48006,Long-term,Self-employed,62215,18,No,Mortgage,16,Growing,Yes,15553.75,16,Long-term,Yes,Performing,No,100,1703
734,18760,Short-term,Employed,43185,65,No,Business,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,23,3397
746,26927,Long-term,Retired,194514,50,No,Personal,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,65,697
607,25939,Long-term,Employed,61153,36,No,Auto,19,Growing,Yes,15288.25,19,Long-term,Yes,Performing,No,100,744
548,37419,Medium-term,Unemployed,97535,19,No,Personal,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,12,4643
465,17588,Short-term,Employed,153653,48,No,Auto,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,61,3002
780,41142,Short-term,Employed,71717,21,No,Business,6,Growing,Yes,17929.25,6,Short-term,No,Performing,No,100,863
634,44198,Short-term,Self-employed,22763,45,No,Auto,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,53,4930
841,49738,Long-term,Employed,112910,58,No,Auto,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,14,1742
405,38397,Short-term,Retired,75480,48,No,Auto,15,Recession,No,0.0,0,N/A,No,Non-performing,Yes,68,2397
380,21653,Long-term,Retired,189831,9,No,Personal,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,2,4796
432,15831,Long-term,Unemployed,138094,31,No,Mortgage,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,36,2272
437,10724,Medium-term,Retired,176379,47,No,Personal,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,36,2260
483,16083,Medium-term,Self-employed,31064,35,No,Mortgage,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,2,3849
700,24816,Medium-term,Unemployed,96848,21,No,Personal,6,Growing,Yes,24212.0,6,Medium-term,No,Performing,No,100,3022
629,47240,Medium-term,Retired,57548,58,No,Business,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,62,679
807,11276,Medium-term,Self-employed,188017,66,No,Business,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,34,3904
368,43663,Long-term,Retired,199009,36,Yes,Auto,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,51,4978
845,18994,Long-term,Retired,26476,44,Yes,Business,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,86,2468
352,28499,Short-term,Employed,110101,17,No,Auto,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,27,4032
749,28040,Long-term,Retired,22382,39,Yes,Mortgage,10,Growing,Yes,5595.5,10,Long-term,No,Non-performing,Yes,93,4727
504,48320,Long-term,Retired,196348,9,Yes,Business,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,17,3460
425,21959,Medium-term,Self-employed,184474,33,No,Mortgage,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,35,4807
342,11099,Long-term,Self-employed,178018,74,Yes,Personal,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,32,1200
410,47267,Medium-term,Employed,99698,29,Yes,Mortgage,17,Recession,No,0.0,0,N/A,No,Non-performing,Yes,63,1770
482,24576,Short-term,Retired,173407,26,No,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,25,2320
394,40946,Short-term,Employed,65095,70,No,Mortgage,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,47,316
673,11116,Long-term,Retired,149974,49,No,Mortgage,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,39,475
819,20563,Short-term,Unemployed,47197,73,Yes,Business,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,1709
659,31788,Long-term,Unemployed,147619,5,No,Mortgage,3,Growing,Yes,31788.0,3,Long-term,No,Performing,No,100,4206
580,31928,Short-term,Employed,42010,48,No,Business,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,39,3939
494,41336,Medium-term,Employed,175195,43,No,Business,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,6,3039
494,14847,Medium-term,Employed,107923,58,No,Auto,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,56,4162
392,31155,Medium-term,Self-employed,153962,33,No,Auto,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,7,1713
360,19135,Medium-term,Self-employed,150526,58,No,Personal,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,55,3779
350,22774,Long-term,Self-employed,129162,20,Yes,Mortgage,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,30,1396
702,6742,Short-term,Employed,140927,24,No,Personal,5,Growing,Yes,6742.0,5,Short-term,No,Performing,No,100,4096
304,23309,Long-term,Retired,28026,50,No,Mortgage,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,58,4886
765,5619,Medium-term,Unemployed,84925,71,No,Auto,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,57,1255
833,22658,Long-term,Employed,88842,69,Yes,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,11,4979
704,39707,Short-term,Self-employed,53665,62,No,Mortgage,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,47,2466
812,25337,Long-term,Self-employed,29277,57,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,30,2991
532,21001,Short-term,Employed,193311,5,Yes,Auto,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,82,2072
823,5968,Long-term,Employed,198736,70,No,Auto,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,62,884
645,30892,Short-term,Self-employed,68008,33,Yes,Personal,19,Growing,Yes,17002.0,19,Short-term,Yes,Non-performing,Yes,73,4592
345,30619,Short-term,Retired,34683,74,No,Auto,13,Recession,No,0.0,0,N/A,No,Non-performing,Yes,38,1181
845,5281,Medium-term,Self-employed,151742,12,No,Mortgage,4,Stable,Yes,5281.0,4,Medium-term,No,Performing,No,100,2133
377,32420,Short-term,Self-employed,168961,33,No,Personal,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,75,1714
372,20360,Medium-term,Employed,195607,55,No,Mortgage,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,19,4655
548,44030,Medium-term,Retired,98542,37,No,Business,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,47,2516
346,6058,Medium-term,Self-employed,74319,7,No,Personal,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,70,4741
420,25677,Long-term,Self-employed,112067,64,No,Mortgage,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,53,3753
513,15724,Long-term,Unemployed,172711,39,No,Auto,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,77,596
538,33404,Long-term,Employed,167705,73,No,Business,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,74,604
355,42946,Long-term,Unemployed,185732,24,Yes,Mortgage,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,70,3486
649,44748,Short-term,Unemployed,88975,43,No,Personal,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,28,2308
406,34856,Short-term,Self-employed,183244,8,No,Mortgage,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,73,4913
347,14200,Long-term,Employed,121158,23,No,Business,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,3316
636,38997,Short-term,Retired,31577,49,No,Personal,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,72,3766
325,30611,Short-term,Self-employed,97299,47,No,Business,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,99,1508
556,46235,Medium-term,Retired,40176,17,No,Mortgage,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,47,4464
307,40057,Medium-term,Retired,195458,17,No,Auto,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,73,4177
552,6239,Medium-term,Employed,83972,64,No,Auto,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,82,1577
602,43138,Medium-term,Unemployed,140018,61,No,Mortgage,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,55,2497
355,5125,Short-term,Employed,192075,56,No,Mortgage,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,94,209
825,28857,Long-term,Retired,39996,57,No,Mortgage,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,3654
773,20398,Short-term,Self-employed,120922,47,No,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,8,749
327,11638,Short-term,Retired,106598,46,No,Business,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,96,1599
377,11570,Short-term,Self-employed,55931,30,No,Business,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,33,695
515,8249,Medium-term,Self-employed,144168,27,No,Business,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,44,1078
685,14110,Medium-term,Employed,186782,47,No,Mortgage,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,87,830
664,45363,Medium-term,Retired,143099,32,Yes,Business,8,Stable,Yes,35774.75,8,Medium-term,No,Non-performing,Yes,8,156
825,18605,Long-term,Unemployed,54693,13,No,Mortgage,13,Stable,Yes,13673.25,13,Long-term,No,Performing,No,100,2343
611,17115,Short-term,Retired,186812,24,No,Personal,14,Recession,Yes,17115.0,14,Short-term,Yes,Performing,No,100,1801
